Year,Movie,Won?,Budget,Opening Weekend,IMDB Rating,Genres,Won Golden Globe,Won Bafta,Oscar Nominations,Golden Globe Nominations,Bafta Nominations,IMdB id,Won Producers,Won Directors,Won Actors,Rate,Metascore
1989,Driving Miss Daisy,1,7500000,73745,7.4,Drama,1,0,9,3,4,tt0097239,1,0,0,PG,81
1989,Field of Dreams,0,,531346,7.5,"Drama, Family, Fantasy, Sport",0,0,3,0,0,tt0097351,0,0,0,PG,57
1989,My Left Foot,0,600000,,7.9,"Biography, Drama",0,0,5,2,5,tt0097937,0,0,0,R,
1988,The Accidental Tourist,0,,97578,6.8,"Drama, Romance",0,0,4,2,1,tt0094606,0,0,0,PG,53
1988,Dangerous Liaisons,0,14000000,,7.7,"Drama, Romance",0,0,7,0,10,tt0094947,0,0,0,R,74
1988,Mississippi Burning,0,15000000,225034,7.8,"Crime, Drama, History, Mystery, Thriller",0,0,7,4,5,tt0095647,0,0,0,R,65
1988,Rain Man,1,25000000,7005719,8,Drama,1,0,8,4,3,tt0095953,0,1,0,R,65
1988,Working Girl,0,28000000,,6.7,"Comedy, Drama, Romance",1,0,6,6,3,tt0096463,0,0,0,R,73
1987,Broadcast News,0,20000000,197542,7.2,"Comedy, Drama, Romance",0,0,7,5,0,tt0092699,0,0,0,R,84
1987,Fatal Attraction,0,14000000,7602740,6.9,"Drama, Thriller",0,0,6,4,3,tt0093010,0,0,0,R,67
1987,Hope and Glory,0,,25497,7.4,"Comedy, Drama, Romance",1,0,5,3,13,tt0093209,0,0,0,PG-13,
1987,The Last Emperor,1,23000000,3398662,7.8,"Biography, Drama, History",1,1,9,5,11,tt0093389,0,1,0,PG-13,76
1987,Moonstruck,0,15000000,127599,7.1,"Comedy, Drama, Romance",0,0,6,5,4,tt0093565,0,0,0,PG,83
1986,Children of a Lesser God,0,,1909084,7.2,"Drama, Romance",0,0,5,3,1,tt0090830,0,0,0,R,
1986,Hannah and Her Sisters,0,6400000,1265826,8,"Comedy, Drama",1,0,7,5,8,tt0091167,0,0,0,PG-13,90
1986,The Mission,0,24500000,40366,7.5,"Adventure, Drama, History",0,0,7,5,11,tt0091530,0,0,0,PG,
1986,Platoon,1,6000000,241080,8.1,"Drama, War",1,0,8,4,3,tt0091763,0,1,0,R,
1986,A Room with a View,0,3000000,42970,7.4,"Drama, Romance",0,1,8,3,14,tt0091867,0,0,0,R,80
1985,The Color Purple,0,15000000,1710333,7.8,Drama,0,0,11,5,1,tt0088939,0,1,0,PG-13,78
1985,Kiss of the Spider Woman,0,,55962,7.4,Drama,0,0,4,4,1,tt0089424,0,0,0,R,80
1985,Out of Africa,1,31000000,3637290,7.2,"Biography, Drama, Romance",1,0,11,6,7,tt0089755,0,0,0,PG,
1985,Prizzi's Honor,0,,,6.8,"Comedy, Crime, Drama, Romance",1,0,8,6,2,tt0089841,0,0,0,R,
1985,Witness,0,12000000,4539990,7.4,"Crime, Drama, Romance, Thriller",0,0,8,6,7,tt0090329,0,0,0,R,76
1983,The Big Chill,0,,56968,7.2,"Comedy, Drama",0,0,3,2,1,tt0085244,0,0,0,R,62
1983,The Dresser,0,,43132,7.7,Drama,0,0,5,5,7,tt0085461,0,0,0,PG,
1983,The Right Stuff,0,27000000,1601167,7.9,"Adventure, Biography, Drama, History",0,0,8,1,0,tt0086197,0,0,0,PG,
1983,Tender Mercies,0,,46977,7.4,"Drama, Music",0,0,5,5,0,tt0086423,0,0,0,PG,
1983,Terms of Endearment,1,8000000,3498813,7.4,"Comedy, Drama",1,0,11,6,1,tt0086425,0,1,0,PG,79
1982,E.T. The Extra-Terrestrial,0,10500000,14223110,7.9,"Family, Sci-Fi",1,0,9,5,12,tt0083866,0,0,0,PG,91
1982,Gandhi,1,22000000,131153,8.1,"Biography, Drama, History",0,1,11,5,16,tt0083987,0,1,0,PG,
1982,Missing,0,,,7.8,"Biography, Drama, History, Mystery, Thriller",0,1,4,5,7,tt0084335,0,0,0,PG,
1982,Tootsie,0,22000000,5540470,7.4,"Comedy, Drama, Romance",1,0,10,5,9,tt0084805,0,0,0,PG,87
1982,The Verdict,0,16000000,,7.8,Drama,0,0,5,5,0,tt0084855,0,0,0,R,
1981,Atlantic City,0,7200000,,7.4,"Crime, Drama, Romance",0,0,5,3,4,tt0080388,0,0,0,R,
1981,Chariots of Fire,1,5500000,68907,7.2,"Biography, Drama, Sport",0,1,7,1,11,tt0082158,0,0,0,PG,
1981,On Golden Pond,0,,89213,7.7,Drama,1,0,10,6,6,tt0082846,0,0,0,PG,
1981,Raiders of the Lost Ark,0,18000000,1673731,8.5,"Action, Adventure",0,0,9,1,7,tt0082971,0,0,0,PG,85
1981,Reds,0,35000000,2325029,7.5,"Biography, Drama, History, Romance",0,0,12,7,6,tt0082979,0,1,0,PG,
1980,Coal Miner's Daughter,0,,3366443,7.5,"Biography, Drama, Music, Musical",1,0,7,4,2,tt0080549,0,0,0,PG,
1980,The Elephant Man,0,5000000,,8.2,"Biography, Drama",0,1,8,4,7,tt0080678,0,0,0,PG,
1980,Ordinary People,1,6000000,,7.8,Drama,1,0,6,8,2,tt0081283,0,1,0,R,85
1980,Raging Bull,0,18000000,13568,8.2,"Biography, Drama, Sport",0,0,8,7,4,tt0081398,0,0,0,R,92
1980,Tess,0,12000000,,7.3,"Drama, Romance",0,0,6,4,3,tt0080009,0,0,0,PG,
1979,All That Jazz,0,,86229,7.8,"Comedy, Drama, Music, Musical",0,0,9,1,6,tt0078754,0,0,0,R,
1979,Apocalypse Now,0,31500000,96992,8.5,"Drama, War",0,0,8,4,9,tt0078788,0,0,0,R,90
1979,Breaking Away,0,2300000,17702,7.7,"Comedy, Drama, Romance, Sport",1,0,5,4,1,tt0078902,0,0,0,PG,
1979,Kramer vs. Kramer,1,8000000,,7.8,Drama,1,0,9,8,6,tt0079417,0,1,0,PG,77
1979,Norma Rae,0,,,7.3,Drama,0,0,4,3,0,tt0079638,0,0,0,PG,
1978,Coming Home,0,3000000,,7.3,"Drama, Romance, War",0,0,8,6,0,tt0077362,0,0,0,R,
1978,The Deer Hunter,1,15000000,,8.2,"Drama, War",0,0,9,6,9,tt0077416,0,1,0,R,73
1978,Heaven Can Wait,0,,4192799,6.9,"Comedy, Fantasy, Romance, Sport",1,0,9,3,0,tt0077663,0,0,0,PG,
1978,Midnight Express,0,1800000,,7.7,"Biography, Crime, Drama, Thriller",1,1,6,8,6,tt0077928,0,0,0,R,
1978,An Unmarried Woman,0,,,7.2,"Comedy, Drama, Romance",0,0,3,5,1,tt0078444,0,0,0,R,
1977,Annie Hall,1,4000000,,8.1,"Comedy, Romance",0,1,5,5,6,tt0075686,0,1,0,PG,
1977,The Goodbye Girl,0,,,7.4,"Comedy, Drama, Romance",1,0,5,5,3,tt0076095,0,0,0,PG,
1977,Julia,0,7840000,,7.4,Drama,0,1,11,7,10,tt0076245,0,0,0,PG,
1977,Star Wars,0,11000000,35906661,8.7,"Action, Adventure, Fantasy, Sci-Fi",0,0,11,4,6,tt0076759,0,0,0,PG,92
1977,The Turning Point,0,,,8.4,"Documentary, News",0,0,0,0,0,tt5929776,0,0,0,PG,63
1975,Barry Lyndon,0,11000000,,8.1,"Adventure, Drama, History, War",0,0,7,2,5,tt0072684,0,0,0,PG,
1975,Dog Day Afternoon,0,1800000,,8,"Biography, Crime, Drama, Thriller",0,1,6,7,6,tt0072890,0,0,0,R,
1975,Jaws,0,8000000,7061513,8,"Adventure, Drama, Thriller",0,0,4,4,7,tt0073195,0,0,0,PG,86
1975,Nashville,0,2200000,,7.8,"Comedy, Drama, Music",0,0,5,11,5,tt0073440,0,0,0,R,
1975,One Flew over the Cuckoo's Nest,1,4400000,99761,8.7,Drama,1,1,9,6,10,tt0073486,0,1,0,R,79
